Period,Return
2002-04,0.0168
2002-05,0.0242
2002-06,0.0451
2002-07,0.0337
2002-08,0.0104
2002-09,0.0472
2002-10,-0.0179
2002-11,-0.0027
2002-12,0.0001
2003-01,0.005699999999999999
2003-02,0.0177
2003-03,-0.0074
2003-04,-0.0209
2003-05,0.0366
2003-06,0.024300000000000002
2003-07,-0.0177
2003-08,0.0143
2003-09,0.0391
2003-10,0.0118
2003-11,0.0064
2003-12,0.0355
2004-01,0.0278
2004-02,0.0060999999999999995
2004-03,-0.02
2004-04,-0.0252
2004-05,-0.011399999999999999
2004-06,0.0062
2004-07,-0.0121
2004-08,0.0118
2004-09,-0.0023
2004-10,0.022400000000000003
2004-11,0.0697
2004-12,0.030299999999999997
2005-01,0.0127
2005-02,0.0206
2005-03,-0.0045000000000000005
2005-04,0.0286
2005-05,0.029900000000000003
2005-06,0.0622
2005-07,0.0092
2005-08,0.0040999999999999995
2005-09,0.0454
2005-10,-0.0472
2005-11,0.04019999999999999
2005-12,0.0258
2006-01,-0.0085
2006-02,0.0096
2006-03,0.0028000000000000004
2006-04,0.0103
2006-05,-0.008
2006-06,-0.0213
2006-07,-0.0129
2006-08,0.0011
2006-09,-0.0045000000000000005
2006-10,0.0126
2006-11,0.0371
2006-12,0.0547
2007-01,0.0285
2007-02,-0.009000000000000001
2007-03,0.0118
2007-04,0.050499999999999996
2007-05,0.0562
2007-06,0.0173
2007-07,0.0008
2007-08,-0.0733
2007-09,0.0426
2007-10,0.0499
2007-11,-0.0055000000000000005
2007-12,-0.0194
2008-01,0.0509
2008-02,0.0528
2008-03,-0.0067
2008-04,-0.054400000000000004
2008-05,0.0276
2008-06,0.0218
2008-07,-0.0182
2008-08,0.0121
2008-09,-0.022000000000000002
2008-10,-0.0075
2008-11,0.030899999999999997
2008-12,-0.0078000000000000005
2009-01,0.0031
2009-02,0.0182
2009-03,0.053099999999999994
2009-04,0.011399999999999999
2009-05,0.0252
2009-06,-0.0036
2009-07,0.013300000000000001
2009-08,0.0118
2009-09,0.0417
2009-10,-0.009899999999999999
2009-11,0.0304
2009-12,0.0055000000000000005
2010-01,0.0087
2010-02,0.0068000000000000005
2010-03,0.0103
2010-04,-0.0031
2010-05,-0.0013
2010-06,-0.0192
2010-07,-0.0089
2010-08,0.0481
2010-09,-0.0088
2010-10,0.0076
2010-11,-0.0265
2010-12,0.0438
2011-01,0.0167
2011-02,0.02
2011-03,0.0031
2011-04,0.027999999999999997
2011-05,-0.0226
2011-06,-0.032799999999999996
2011-07,0.0076
2011-08,-0.0097
2011-09,0.0123
2011-10,0.011000000000000001
2011-11,-0.0262
2011-12,0.0116
2012-01,0.0137
2012-02,0.020499999999999997
2012-03,-0.0069
2012-04,0.0029
2012-05,0.0158
2012-06,-0.026099999999999998
2012-07,0.0308
2012-08,0.016399999999999998
2012-09,-0.0053
2012-10,-0.018600000000000002
2012-11,0.0055000000000000005
2012-12,0.0003
2013-01,0.028900000000000002
2013-02,0.0032
2013-03,0.0046
2013-04,0.0060999999999999995
2013-05,0.0159
2013-06,-0.032
2013-07,0.0274
2013-08,0.0208
2013-09,0.0163
2013-10,0.005699999999999999
2013-11,0.0263
2013-12,0.0326
2014-01,0.0072
2014-02,0.0278
2014-03,-0.0304
2014-04,-0.0227
2014-05,0.0217
2014-06,0.0028000000000000004
2014-07,-0.0084
2014-08,0.02
2014-09,0.011899999999999999
2014-10,-0.0387
2014-11,0.025699999999999997
2014-12,0.0197
2015-01,0.0384
2015-02,0.0369
2015-03,0.0191
2015-04,-0.0391
2015-05,0.041100000000000005
2015-06,-0.0204
2015-07,0.0196
2015-08,-0.051500000000000004
2015-09,-0.015600000000000001
2015-10,-0.0043
2015-11,0.0241
2015-12,0.0038
2016-01,-0.012
2016-02,-0.0369
2016-03,-0.0098
2016-04,-0.0068000000000000005
2016-05,-0.0069
2016-06,0.046799999999999994
2016-07,0.0363
2016-08,-0.0033
2016-09,0.0067
2016-10,0.0004
2016-11,-0.0277
2016-12,0.001
2017-01,0.0102
2017-02,0.020499999999999997
2017-03,-0.0118
2017-04,0.0129
2017-05,0.0437
2017-06,-0.0097
2017-07,0.013000000000000001
2017-08,0.049
2017-09,-0.006999999999999999
2017-10,0.0382
2017-11,0.0017000000000000001
2017-12,-0.0165
2018-01,0.054299999999999994
2018-02,-0.0374
2018-03,-0.010700000000000001
2018-04,0.0024
2018-05,0.0444
2018-06,-0.012199999999999999
2018-07,0.0074
2018-08,0.0253
2018-09,0.015600000000000001
2018-10,-0.0756
2018-11,-0.04190000000000001
2018-12,0.0202
2019-01,0.0062
2019-02,0.0202
2019-03,0.0178
2019-04,0.0138
2019-05,0.021400000000000002
2019-06,0.0437
2019-07,0.014199999999999999
2019-08,0.018500000000000003
2019-09,-0.0541
2019-10,-0.0264
2019-11,0.0022
2019-12,0.0086
2020-01,0.018000000000000002
2020-02,-0.0051
2020-03,-0.0446
2020-04,0.0001
2020-05,0.0581
2020-06,0.0288
2020-07,0.0213
2020-08,0.0076
2020-09,0.0014000000000000002
2020-10,0.0034000000000000002
2020-11,0.061900000000000004
2020-12,0.0877
2021-01,-0.016399999999999998
2021-02,0.0634
2021-03,-0.036000000000000004
2021-04,0.031200000000000002
2021-05,-0.006999999999999999
2021-06,-0.023399999999999997
2021-07,-0.0029
2021-08,-0.0225
2021-09,0.009300000000000001
2021-10,0.0034000000000000002
2021-11,-0.0346
2021-12,-0.0039000000000000003
2022-01,0.0053
2022-02,0.0024
2022-03,0.0471
2022-04,0.0537
2022-05,-0.0329
2022-06,0.014499999999999999
2022-07,-0.0121
2022-08,0.0355
2022-09,0.0425
2022-10,0.0043
