Period,Return
2019-03,0.024
2019-04,0.034
2019-05,0.017
2019-06,0.009000000000000001
2019-07,0.024
2019-08,0.02
2019-09,0.018000000000000002
2019-10,0.015
2019-11,0.032
2019-12,0.033
2020-01,0.006
2020-02,-0.04
2020-03,-0.043
2020-04,0.10300000000000001
2020-05,0.064
2020-06,0.006
2020-07,-0.011000000000000001
2020-08,-0.009000000000000001
2020-09,0.048
2020-10,0.038
2020-11,0.05
2020-12,0.057
2021-01,0.052000000000000005
2021-02,0.040999999999999995
2021-03,-0.012
2021-04,0.059000000000000004
2021-05,0.113
2021-06,0.045
2021-07,-0.012
2021-08,0.023
2021-09,0.023
2021-10,0.051
2021-11,-0.028999999999999998
2021-12,0.008
2022-01,-0.027999999999999997
2022-02,0.015
2022-03,0.024
2022-04,-0.027000000000000003
2022-05,-0.031
2022-06,-0.001
2022-07,0.071
2022-08,0.016
2022-09,0.018000000000000002
2022-10,0.08
2022-11,0.109
2022-12,0.133
2023-01,0.032
2023-02,0.004
2023-03,0.031
2023-04,0.037000000000000005
2023-05,0.027000000000000003
2023-06,0.005
2023-07,0.084
2023-08,0.017
2023-09,-0.003
2023-10,-0.067
2023-11,0.043
2023-12,0.087
2024-01,0.027000000000000003
2024-02,0.054000000000000006
2024-03,0.021
2024-04,-0.05
2024-05,-0.002
2024-06,-0.002
2024-07,0.054000000000000006
2024-08,0.017
2024-09,0.02
2024-10,0.017
2024-11,0.01
2024-12,-0.039
2025-01,-0.031
2025-02,0.006
2025-03,-0.046
2025-04,0.085
2025-05,-0.055999999999999994
2025-06,0.028999999999999998
2025-07,0.179
2025-08,0.051
2025-09,0.11699999999999999
2025-10,0.133
2025-11,0.042
2025-12,0.017
2026-01,-0.015
2026-02,0.07
2026-03,-0.006
2026-04,0.021
