Period,Return
2021-01,0.024
2021-02,0.039
2021-03,0.026000000000000002
2021-04,0.017
2021-05,0.006
2021-06,0.017
2021-07,-0.004
2021-08,-0.006999999999999999
2021-09,0.03
2021-10,0.03
2021-11,0.021
2021-12,0.008
2022-01,0.024
2022-02,0.013999999999999999
2022-03,0.062
2022-04,0.049
2022-05,0.003
2022-06,0.048
2022-07,0.022000000000000002
2022-08,0.034
2022-09,0.03
2022-10,0.032
2022-11,0.067
2022-12,0.053
2023-01,0.075
2023-02,0.045
2023-03,0.023
2023-04,0.027999999999999997
2023-05,0.027000000000000003
2023-06,0.032
2023-07,0.006
2023-08,0.006
2023-09,-0.002
2023-10,0.037000000000000005
2023-11,0.019
2023-12,0.028999999999999998
2024-01,0.013000000000000001
2024-02,0.009000000000000001
2024-03,0.064
2024-04,0.051
2024-05,0.038
2024-06,0.018000000000000002
2024-07,0.05
2024-08,0.038
2024-09,0.045
2024-10,0.064
2024-11,0.006999999999999999
2024-12,-0.0
2025-01,0.003
2025-02,0.052000000000000005
2025-03,0.051
2025-04,0.044000000000000004
2025-05,0.024
2025-06,-0.011000000000000001
2025-07,0.019
2025-08,-0.017
2025-09,0.038
2025-10,0.03
2025-11,0.042
2025-12,-0.049
