Period,Return
2007-08,0.0953
2007-09,0.023700000000000002
2007-10,0.010700000000000001
2007-11,0.044199999999999996
2007-12,0.0073
2008-01,0.0888
2008-02,0.0013
2008-03,-0.0074
2008-04,0.0070999999999999995
2008-05,-0.0033
2008-06,-0.027999999999999997
2008-07,0.015600000000000001
2008-08,-0.0087
2008-09,0.0144
2008-10,-0.1128
2008-11,-0.051100000000000007
2008-12,0.038599999999999995
2009-01,0.019799999999999998
2009-02,0.0123
2009-03,0.0062
2009-04,0.0016
2009-05,0.010700000000000001
2009-06,0.013999999999999999
2009-07,0.0058
2009-08,-0.004699999999999999
2009-09,0.0176
2009-10,0.0102
2009-11,-0.004
2009-12,0.0103
2010-01,0.0256
2010-02,0.0006
2010-03,0.0155
2010-04,0.018000000000000002
2010-05,-0.0168
2010-06,-0.0013
2010-07,-0.004699999999999999
2010-08,0.0009
2010-09,0.0144
2010-10,0.0154
2010-11,0.0191
2010-12,0.008199999999999999
2011-01,0.0366
2011-02,0.0116
2011-03,-0.0014000000000000002
2011-04,0.011699999999999999
2011-05,-0.0034999999999999996
2011-06,0.0016
2011-07,0.0368
2011-08,0.0208
2011-09,-0.024
2011-10,0.022400000000000003
2011-11,-0.0116
2011-12,0.018799999999999997
2012-01,0.0189
2012-02,0.009000000000000001
2012-03,0.013000000000000001
2012-04,0.0034000000000000002
2012-05,-0.0137
2012-06,0.0139
2012-07,0.0252
2012-08,-0.0173
2012-09,0.0055000000000000005
2012-10,0.008199999999999999
2012-11,0.0026
2012-12,0.0031
2013-01,-0.019
2013-02,-0.0005
2013-03,0.005600000000000001
2013-04,0.0051
2013-05,0.0048
2013-06,-0.009000000000000001
2013-07,0.0039000000000000003
2013-08,0.001
2013-09,0.0
2013-10,0.004699999999999999
2013-11,-0.0045000000000000005
2013-12,0.0037
2014-01,0.0209
2014-02,0.0104
2014-03,-0.0064
2014-04,0.0111
2014-05,0.0060999999999999995
2014-06,0.0
2014-07,-0.0077
2014-08,-0.019799999999999998
2014-09,-0.0078000000000000005
2014-10,-0.0131
2014-11,-0.0085
2014-12,-0.011200000000000002
2015-01,-0.0017000000000000001
2015-02,0.0146
2015-03,0.0028000000000000004
2015-04,0.0129
2015-05,0.0079
2015-06,-0.0115
2015-07,0.004
2015-08,0.0124
2015-09,-0.0128
2015-10,0.0068000000000000005
2015-11,-0.0079
2015-12,0.0127
2016-01,-0.0028000000000000004
2016-02,-0.006500000000000001
2016-03,0.0126
2016-04,0.0175
2016-05,0.0073
2016-06,0.0168
2016-07,0.020099999999999996
2016-08,0.0018
2016-09,0.015600000000000001
2016-10,-0.008100000000000001
2016-11,-0.0026
2016-12,0.015700000000000002
2017-01,0.0159
2017-02,-0.0017000000000000001
2017-03,0.0039000000000000003
2017-04,0.0089
2017-05,0.0116
2017-06,0.0060999999999999995
2017-07,0.012
2017-08,0.0021
2017-09,0.0005
2017-10,0.010700000000000001
2017-11,0.0045000000000000005
2017-12,-0.0017000000000000001
2018-01,0.0015
2018-02,0.0124
2018-03,0.014199999999999999
2018-04,0.016399999999999998
2018-05,-0.053399999999999996
2018-06,0.0084
2018-07,0.0002
2018-08,-0.0015
2018-09,0.0015
2018-10,0.0101
2018-11,0.0068000000000000005
2018-12,-0.0092
2019-01,0.018799999999999997
2019-02,0.0025
2019-03,0.0123
2019-04,0.006500000000000001
2019-05,0.0084
2019-06,0.0074
2019-07,0.009000000000000001
2019-08,0.0049
2019-09,0.0037
2019-10,0.0052
2019-11,0.010700000000000001
2019-12,0.009399999999999999
2020-01,0.016200000000000003
2020-02,0.005699999999999999
2020-03,-0.0462
2020-04,0.0365
2020-05,0.0005
2020-06,0.0097
2020-07,0.009300000000000001
2020-08,0.0069
2020-09,0.0127
2020-10,0.0016
2020-11,0.020499999999999997
2020-12,0.0147
2021-01,0.001
2021-02,-0.011699999999999999
2021-03,0.0085
2021-04,0.001
2021-05,0.0026
2021-06,-0.0026
2021-07,-0.0074
2021-08,0.0038
2021-09,0.0137
2021-10,-0.0519
2021-11,0.0121
2021-12,0.0175
2022-01,0.0265
2022-02,-0.0111
2022-03,0.0052
2022-04,0.0152
2022-05,-0.011000000000000001
2022-06,-0.0166
2022-07,-0.0039000000000000003
2022-08,0.0076
2022-09,-0.0019
2022-10,0.0042
2022-11,-0.0028000000000000004
2022-12,0.0215
2023-01,0.0226
2023-02,0.0152
2023-03,-0.0129
2023-04,0.006
2023-05,0.0083
2023-06,-0.0031
2023-07,0.0111
2023-08,0.0137
2023-09,0.009399999999999999
2023-10,-0.0033
2023-11,0.0053
2023-12,0.0024
2024-01,0.0187
2024-02,0.0064
2024-03,0.0109
2024-04,0.0054
2024-05,0.0060999999999999995
2024-06,-0.0053
2024-07,0.0172
2024-08,-0.013000000000000001
2024-09,-0.0011
2024-10,-0.010700000000000001
2024-11,0.019
2024-12,0.0103
2025-01,0.0279
2025-02,0.016
2025-03,0.0039000000000000003
2025-04,-0.0089
2025-05,0.0088
2025-06,0.0048
2025-07,0.0021
2025-08,0.005699999999999999
2025-09,0.016
2025-10,0.012
2025-11,0.0121
2025-12,0.011200000000000002
2026-01,0.0182
2026-02,0.0155
2026-03,-0.038
2026-04,0.014199999999999999
