Period,Return
2016-11,0.0052
2016-12,0.0019
2017-01,0.0018
2017-02,0.0005
2017-03,0.0008
2017-04,0.0033
2017-05,0.0033
2017-06,0.0014000000000000002
2017-07,0.0025
2017-08,0.004
2017-09,0.0049
2017-10,0.0028000000000000004
2017-11,0.0027
2017-12,0.001
2018-01,0.0051
2018-02,0.0025
2018-03,0.0049
2018-04,0.0046
2018-05,0.0048
2018-06,0.0062
2018-07,0.0053
2018-08,0.0068000000000000005
2018-09,0.0058
2018-10,0.0053
2018-11,0.0044
2018-12,0.0031
2019-01,0.0021
2019-02,0.0022
2019-03,0.0022
2019-04,0.004
2019-05,0.004699999999999999
2019-06,0.0039000000000000003
2019-07,0.0024
2019-08,0.0039000000000000003
2019-09,0.0038
2019-10,0.0027
2019-11,0.0027
2019-12,0.0037
2020-01,0.0014000000000000002
2020-02,0.0032
2020-03,0.0064
2020-04,0.0038
2020-05,0.0002
2020-06,0.0003
2020-07,0.001
2020-08,0.0001
2020-09,0.0023
2020-10,0.0011
2020-11,0.0045000000000000005
2020-12,0.0034999999999999996
2021-01,0.0038
2021-02,0.0018
2021-03,0.0023
2021-04,0.002
2021-05,0.0018
2021-06,0.0022
2021-07,0.0015
2021-08,0.0016
2021-09,0.0012
2021-10,0.0007000000000000001
2021-11,0.0024
2021-12,0.0011
2022-01,0.0016
2022-02,0.004
2022-03,0.0077
2022-04,0.0022
2022-05,0.0039000000000000003
2022-06,0.0024
2022-07,0.005600000000000001
2022-08,0.0034999999999999996
2022-09,0.008
2022-10,0.0039000000000000003
2022-11,0.0053
2022-12,0.0051
2023-01,0.0059
2023-02,0.0044
2023-03,0.0062
2023-04,0.0048
2023-05,0.0054
2023-06,0.0060999999999999995
2023-07,0.006
2023-08,0.0074
2023-09,0.0067
2023-10,0.0053
2023-11,0.0072
2023-12,0.0079
2024-01,0.0089
2024-02,0.0068000000000000005
2024-03,0.008
2024-04,0.0063
2024-05,0.0067
2024-06,0.0059
2024-07,0.0075
2024-08,0.0102
2024-09,0.0073
2024-10,0.0059
2024-11,0.006500000000000001
2024-12,0.0044
2025-01,0.006500000000000001
2025-02,0.005
2025-03,0.0045000000000000005
2025-04,0.0058
2025-05,0.0048
2025-06,0.0037
2025-07,0.005699999999999999
2025-08,0.0046
2025-09,0.0038
2025-10,0.0044
2025-11,0.0039000000000000003
2025-12,0.0049
