Period,Return
2020-01,0.1199
2020-02,0.0007000000000000001
2020-03,0.0594
2020-04,0.0369
2020-05,0.0173
2020-06,0.0187
2020-07,0.0315
2020-08,0.0321
2020-09,0.0086
2020-10,0.0235
2020-11,0.011200000000000002
2020-12,0.022799999999999997
2021-01,0.0231
2021-02,0.0429
2021-03,0.0196
2021-04,0.0181
2021-05,0.0167
2021-06,-0.0005
2021-07,-0.0159
2021-08,0.010700000000000001
2021-09,-0.0018
2021-10,0.0394
2021-11,0.0231
2021-12,0.0305
2022-01,0.0416
2022-02,0.045599999999999995
2022-03,0.061200000000000004
2022-04,0.052000000000000005
2022-05,0.0805
2022-06,0.044800000000000006
2022-07,0.0189
2022-08,0.008
2022-09,0.015300000000000001
2022-10,0.0103
2022-11,-0.0067
2022-12,0.0235
2023-01,0.026000000000000002
2023-02,-0.0226
2023-03,0.018799999999999997
2023-04,0.0014000000000000002
2023-05,0.0126
2023-06,0.021099999999999997
2023-07,0.005
2023-08,-0.005600000000000001
2023-09,0.0021
2023-10,-0.0268
2023-11,0.026600000000000002
2023-12,0.028399999999999998
2024-01,0.0027
2024-02,0.0209
2024-03,0.0177
2024-04,-0.0043
2024-05,0.008
2024-06,0.0144
2024-07,-0.0053
2024-08,0.0101
2024-09,0.0184
2024-10,0.0052
2024-11,-0.0327
2024-12,-0.0197
2025-01,-0.023700000000000002
2025-02,-0.0026
2025-03,0.054299999999999994
2025-04,0.0375
2025-05,0.004699999999999999
2025-06,0.0051
2025-07,0.0067
2025-08,-0.0011
2025-09,0.025
2025-10,0.014199999999999999
2025-11,0.012199999999999999
2025-12,0.0108
2026-01,0.0278
2026-02,0.0184
2026-03,0.0163
2026-04,0.0111
