Period,Return
2019-09,-0.025699999999999997
2019-10,0.0003
2019-11,-0.018600000000000002
2019-12,-0.0111
2020-01,0.0225
2020-02,0.0053
2020-03,0.0212
2020-04,0.0177
2020-05,-0.0007000000000000001
2020-06,0.0132
2020-07,0.0203
2020-08,0.006999999999999999
2020-09,0.04019999999999999
2020-10,0.024300000000000002
2020-11,0.036000000000000004
2020-12,0.039
2021-01,0.006500000000000001
2021-02,0.0556
2021-03,-0.054000000000000006
2021-04,0.020499999999999997
2021-05,-0.0144
2021-06,-0.0008
2021-07,-0.0248
2021-08,0.0015
2021-09,0.039900000000000005
2021-10,0.0245
2021-11,-0.0147
2021-12,0.0085
2022-01,-0.0246
2022-02,0.0265
2022-03,-0.0182
2022-04,0.0038
2022-05,-0.025699999999999997
2022-06,0.0248
2022-07,0.0141
2022-08,0.0195
2022-09,0.021
2022-10,0.0335
2022-11,-0.0268
2022-12,0.0196
2023-01,0.0038
2023-02,0.018799999999999997
2023-03,0.0
2023-04,-0.022099999999999998
2023-05,-0.0288
2023-06,-0.0258
2023-07,-0.0348
2023-08,-0.0146
2023-09,0.0021
2023-10,-0.0028000000000000004
2023-11,0.0007000000000000001
2023-12,0.0262
2024-01,0.0115
2024-02,0.004
2024-03,0.08349999999999999
2024-04,0.029900000000000003
2024-05,0.0079
2024-06,0.0225
2024-07,0.002
2024-08,-0.0218
2024-09,0.015600000000000001
2024-10,0.058499999999999996
2024-11,0.0762
2024-12,0.0137
2025-01,0.039900000000000005
2025-02,-0.0405
2025-03,-0.0535
2025-04,0.0178
2025-05,0.0373
2025-06,0.0178
2025-07,0.0453
2025-08,-0.0064
2025-09,0.0435
2025-10,0.011399999999999999
2025-11,0.061500000000000006
2025-12,0.028900000000000002
2026-01,0.0341
2026-02,0.024700000000000003
2026-03,-0.012
2026-04,0.0165
