Period,Return
2009-03,0.0334
2009-04,0.0659
2009-05,0.08900000000000001
2009-06,-0.013600000000000001
2009-07,0.015300000000000001
2009-08,0.0765
2009-09,0.0336
2009-10,-0.006500000000000001
2009-11,-0.0064
2009-12,0.0172
2010-01,0.0147
2010-02,-0.0053
2010-03,0.022799999999999997
2010-04,-0.0108
2010-05,-0.0366
2010-06,0.020099999999999996
2010-07,0.015600000000000001
2010-08,0.015300000000000001
2010-09,0.02
2010-10,0.0279
2010-11,-0.009300000000000001
2010-12,0.0049
2011-01,-0.0366
2011-02,-0.0060999999999999995
2011-03,0.0053
2011-04,0.028999999999999998
2011-05,-0.0031
2011-06,0.0115
2011-07,0.0516
2011-08,0.1051
2011-09,0.06570000000000001
2011-10,0.0101
2011-11,0.0263
2011-12,-0.0083
2012-01,-0.0414
2012-02,0.005
2012-03,0.0207
2012-04,0.0274
2012-05,0.0222
2012-06,0.0060999999999999995
2012-07,0.0325
2012-08,0.0038
2012-09,-0.0184
2012-10,-0.0092
2012-11,0.0296
2012-12,-0.0092
2013-01,0.0147
2013-02,0.0217
2013-03,0.0519
2013-04,-0.0014000000000000002
2013-05,0.0032
2013-06,0.025
2013-07,-0.0001
2013-08,-0.038599999999999995
2013-09,0.0034000000000000002
2013-10,0.0213
2013-11,0.0084
2013-12,0.019
2014-01,-0.0039000000000000003
2014-02,0.0064
2014-03,-0.0149
2014-04,-0.0125
2014-05,0.0168
2014-06,-0.0022
2014-07,-0.0092
2014-08,0.0209
2014-09,0.0232
2014-10,0.0233
2014-11,0.0084
2014-12,0.006
2015-01,0.027999999999999997
2015-02,-0.0282
2015-03,-0.0014000000000000002
2015-04,-0.048
2015-05,0.0291
2015-06,-0.0003
2015-07,0.0246
2015-08,-0.0129
2015-09,0.0222
2015-10,-0.0124
2015-11,0.042300000000000004
2015-12,0.0232
2016-01,0.0233
2016-02,-0.018799999999999997
2016-03,-0.0345
2016-04,0.0039000000000000003
2016-05,0.0281
2016-06,0.030699999999999998
2016-07,0.0067
2016-08,-0.0043
2016-09,0.019799999999999998
2016-10,-0.022000000000000002
2016-11,-0.0274
2016-12,-0.0055000000000000005
2017-01,0.032
2017-02,0.0174
2017-03,0.0187
2017-04,0.0184
2017-05,0.0208
2017-06,-0.0143
2017-07,-0.015700000000000002
2017-08,0.006999999999999999
2017-09,-0.0068000000000000005
2017-10,0.0308
2017-11,0.0042
2017-12,0.010700000000000001
2018-01,0.0269
2018-02,0.0036
2018-03,-0.0002
2018-04,-0.0187
2018-05,0.0333
2018-06,-0.016
2018-07,0.0038
2018-08,0.0048
2018-09,0.0027
2018-10,-0.0408
2018-11,0.0143
2018-12,0.0174
2019-01,0.0052
2019-02,-0.0146
2019-03,0.0218
2019-04,-0.0014000000000000002
2019-05,0.0146
2019-06,0.0005
2019-07,0.0013
2019-08,0.0294
2019-09,-0.0259
2019-10,0.0069
2019-11,0.0108
2019-12,0.0174
2020-01,0.0
2020-02,0.0087
2020-03,-0.0018
2020-04,0.019299999999999998
2020-05,0.0176
2020-06,-0.0054
2020-07,0.013500000000000002
2020-08,0.034300000000000004
2020-09,-0.0031
2020-10,0.0074
2020-11,0.060899999999999996
2020-12,0.0215
2021-01,-0.0697
2021-02,0.0464
2021-03,-0.048600000000000004
2021-04,0.0060999999999999995
2021-05,-0.0073
2021-06,-0.0005
2021-07,-0.001
2021-08,0.026099999999999998
2021-09,0.015
2021-10,0.029900000000000003
2021-11,-0.0425
2021-12,-0.015600000000000001
2022-01,0.0004
2022-02,0.032
2022-03,-0.0013
2022-04,-0.015600000000000001
2022-05,0.0042
2022-06,-0.0078000000000000005
2022-07,-0.0038
2022-08,0.037000000000000005
2022-09,0.0077
2022-10,0.0031
2022-11,-0.0102
2022-12,0.0070999999999999995
2023-01,0.002
2023-02,-0.025
2023-03,0.050199999999999995
2023-04,0.0033
2023-05,0.0255
2023-06,-0.0139
2023-07,0.0101
2023-08,0.0116
2023-09,0.0013
2023-10,0.037599999999999995
2023-11,-0.0044
2023-12,-0.0222
2024-01,0.036000000000000004
2024-02,0.0087
2024-03,0.013500000000000002
2024-04,-0.0039000000000000003
2024-05,0.0021
2024-06,0.0222
2024-07,0.0151
2024-08,-0.0086
2024-09,0.0026
2024-10,-0.0131
2024-11,0.0195
2024-12,-0.0408
2025-01,0.0352
2025-02,0.0016
2025-03,-0.0208
2025-04,-0.0068000000000000005
2025-05,-0.0055000000000000005
2025-06,0.0338
2025-07,0.008199999999999999
2025-08,0.0097
2025-09,0.013000000000000001
2025-10,0.027000000000000003
2025-11,0.0069
2025-12,-0.0036
2026-01,0.0366
2026-02,0.0579
2026-03,-0.015600000000000001
2026-04,0.0368
