Period,Return
2020-04,-0.0268
2020-05,0.062400000000000004
2020-06,0.0493
2020-07,0.051100000000000007
2020-08,0.0282
2020-09,-0.0317
2020-10,-0.0552
2020-11,0.1311
2020-12,0.1041
2021-01,0.0178
2021-02,0.0681
2021-03,0.037000000000000005
2021-04,0.0178
2021-05,0.0371
2021-06,0.052000000000000005
2021-07,-0.0096
2021-08,0.0063
2021-09,0.048600000000000004
2021-10,0.0365
2021-11,-0.0645
2021-12,0.0373
2022-01,0.0137
2022-02,-0.0062
2022-03,0.0475
2022-04,-0.0018
2022-05,0.021099999999999997
2022-06,-0.036000000000000004
2022-07,-0.0034999999999999996
2022-08,0.022400000000000003
2022-09,0.0085
2022-10,-0.0297
2022-11,0.032
2022-12,0.0273
2023-01,0.0552
2023-02,0.0004
2023-03,-0.0455
2023-04,0.0173
2023-05,0.0703
2023-06,0.0574
2023-07,0.0356
2023-08,0.009000000000000001
2023-09,0.0202
2023-10,0.02
2023-11,0.032
2023-12,0.0174
2024-01,0.0384
2024-02,0.0352
2024-03,0.0541
2024-04,0.0358
2024-05,-0.0033
2024-06,0.0095
2024-07,0.0347
2024-08,0.0118
2024-09,0.0219
2024-10,0.038900000000000004
2024-11,0.0241
2024-12,0.001
2025-01,0.0378
2025-02,-0.0038
2025-03,0.0002
2025-04,-0.0479
2025-05,-0.038
2025-06,0.0199
2025-07,0.0086
2025-08,0.015300000000000001
2025-09,0.0022
2025-10,0.0638
2025-11,0.0051
2025-12,0.0262
2026-01,0.0546
2026-02,0.0218
2026-03,-0.009399999999999999
2026-04,0.0132
