Period,Return
2019-10,0.024
2019-11,-0.027000000000000003
2019-12,0.025
2020-01,0.046
2020-02,-0.05
2020-03,-0.079
2020-04,0.136
2020-05,0.049
2020-06,0.03
2020-07,0.14300000000000002
2020-08,0.028999999999999998
2020-09,-0.059000000000000004
2020-10,0.009000000000000001
2020-11,0.055
2020-12,0.142
2021-01,-0.001
2021-02,0.032
2021-03,0.044000000000000004
2021-04,0.043
2021-05,-0.011000000000000001
2021-06,-0.028999999999999998
2021-07,0.035
2021-08,0.031
2021-09,-0.059000000000000004
2021-10,0.111
2021-11,-0.035
2021-12,0.018000000000000002
2022-01,-0.069
2022-02,0.01
2022-03,0.053
2022-04,-0.102
2022-05,-0.040999999999999995
2022-06,-0.128
2022-07,0.073
2022-08,-0.068
2022-09,-0.071
2022-10,0.027000000000000003
2022-11,0.049
2022-12,-0.012
2023-01,0.075
2023-02,-0.054000000000000006
2023-03,0.078
2023-04,0.012
2023-05,-0.044000000000000004
2023-06,0.013000000000000001
2023-07,0.028999999999999998
2023-08,-0.037000000000000005
2023-09,-0.057
2023-10,0.075
2023-11,0.071
2023-12,0.03
2024-01,0.005
2024-02,0.126
2024-03,0.07
2024-04,-0.054000000000000006
2024-05,0.068
2024-06,-0.003
2024-07,0.025
2024-08,-0.002
2024-09,0.042
2024-10,0.026000000000000002
2024-11,0.083
2024-12,-0.027000000000000003
2025-01,0.065
2025-02,-0.048
2025-03,0.015
2025-04,0.055
2025-05,0.046
2025-06,0.023
2025-07,0.025
2025-08,0.008
2025-09,0.078
2025-10,0.012
2025-11,-0.011000000000000001
2025-12,0.017
2026-01,0.033
2026-02,0.027999999999999997
2026-03,-0.107
2026-04,0.061
