Period,Return
2010-01,-0.011200000000000002
2010-02,0.0103
2010-03,0.0219
2010-04,0.0147
2010-05,-0.027200000000000002
2010-06,0.0225
2010-07,-0.0345
2010-08,0.0446
2010-09,0.107
2010-10,0.0242
2010-11,0.0519
2010-12,0.0528
2011-01,-0.030600000000000002
2011-02,0.0783
2011-03,0.0147
2011-04,0.0622
2011-05,-0.0215
2011-06,-0.013000000000000001
2011-07,0.0318
2011-08,-0.013999999999999999
2011-09,-0.0478
2011-10,0.12560000000000002
2011-11,-0.014499999999999999
2011-12,-0.039900000000000005
2012-01,0.0708
2012-02,0.0273
2012-03,0.0005
2012-04,0.0052
2012-05,0.0191
2012-06,0.050499999999999996
2012-07,0.0178
2012-08,0.0374
2012-09,0.0335
2012-10,0.0026
2012-11,0.0052
2012-12,0.0023
2013-01,0.0245
2013-02,0.0337
2013-03,0.009399999999999999
2013-04,0.0189
2013-05,0.015
2013-06,0.0209
2013-07,0.0023
2013-08,0.028900000000000002
2013-09,0.0252
2013-10,0.0231
2013-11,0.024900000000000002
2013-12,0.0311
2014-01,0.0138
2014-02,0.0174
2014-03,0.0403
2014-04,0.0241
2014-05,0.0308
2014-06,0.0149
2014-07,0.0223
2014-08,0.0222
2014-09,0.0282
2014-10,0.0446
2014-11,0.0091
2014-12,0.0075
2015-01,0.046799999999999994
2015-02,0.016200000000000003
2015-03,0.035699999999999996
2015-04,0.0147
2015-05,0.0165
2015-06,0.0062
2015-07,0.0235
2015-08,0.006
2015-09,0.0176
2015-10,0.0325
2015-11,0.0334
2015-12,0.0271
2016-01,0.036000000000000004
2016-02,0.0432
2016-03,0.018600000000000002
2016-04,0.0229
2016-05,0.0167
2016-06,0.0268
2016-07,0.022400000000000003
2016-08,0.0226
2016-09,0.028399999999999998
2016-10,0.0167
2016-11,0.0387
2016-12,0.025099999999999997
2017-01,0.0134
2017-02,0.0086
2017-03,0.009899999999999999
2017-04,0.002
2017-05,0.024399999999999998
2017-06,0.0024
2017-07,0.0259
2017-08,-0.0024
2017-09,0.008100000000000001
2017-10,0.0246
2017-11,-0.0043
2017-12,0.01
2018-01,0.0138
2018-02,-0.0176
2018-03,0.0046
2018-04,-0.0011
2018-05,0.0287
2018-06,0.0083
2018-07,0.0397
2018-08,0.0495
2018-09,0.006500000000000001
2018-10,-0.027999999999999997
2018-11,-0.0001
2018-12,-0.0507
2019-01,0.0407
2019-02,0.005600000000000001
2019-03,0.006500000000000001
2019-04,0.0165
2019-05,0.0501
2019-06,0.004
2019-07,-0.0016
2019-08,-0.002
2019-09,0.0281
2019-10,0.039599999999999996
2019-11,-0.0118
2019-12,0.0521
2020-01,0.0166
2020-02,0.0161
2020-03,0.0213
2020-04,0.0123
2020-05,0.0126
2020-06,0.012199999999999999
2020-07,0.0087
2020-08,0.0064
2020-09,0.013500000000000002
2020-10,0.0108
2020-11,0.010700000000000001
2020-12,0.0147
2021-01,0.0127
2021-02,0.0189
2021-03,0.0191
2021-04,0.0139
2021-05,0.0189
2021-06,0.0104
2021-07,0.0111
2021-08,0.0014000000000000002
2021-09,-0.009399999999999999
2021-10,0.0103
2021-11,-0.0042
2021-12,-0.0045000000000000005
2022-01,-0.0115
2022-02,-0.0062
2022-03,-0.0017000000000000001
2022-04,0.0037
2022-05,0.0066
2022-06,0.0194
2022-07,0.038900000000000004
2022-08,0.0282
2022-09,0.0274
2022-10,0.0222
2022-11,0.017
2022-12,0.0206
2023-01,0.0173
2023-02,0.0165
2023-03,0.019
2023-04,0.0163
2023-05,0.020499999999999997
2023-06,0.0091
2023-07,0.0208
2023-08,0.0166
2023-09,0.0137
2023-10,0.012
2023-11,0.014499999999999999
2023-12,0.023
2024-01,0.0183
2024-02,0.009399999999999999
2024-03,0.0226
2024-04,0.0216
2024-05,0.0199
2024-06,0.0108
2024-07,0.0134
2024-08,0.0131
2024-09,0.011000000000000001
2024-10,0.017
2024-11,0.0171
2024-12,0.0129
2025-01,0.0154
2025-02,0.0091
2025-03,0.0231
2025-04,0.0167
2025-05,0.0152
2025-06,0.015700000000000002
2025-07,0.0254
2025-08,0.0128
2025-09,0.0191
2025-10,0.021099999999999997
2025-11,0.0125
2025-12,0.0158
2026-01,0.013999999999999999
2026-02,0.0109
2026-03,0.016
2026-04,0.012199999999999999
2026-05,0.023799999999999998
2026-06,0.011200000000000002
