Period,Return
2019-06,0.023700000000000002
2019-07,0.026099999999999998
2019-08,0.011200000000000002
2019-09,0.0281
2019-10,0.0222
2019-11,-0.0036
2019-12,0.037599999999999995
2020-01,0.0215
2020-02,-0.0206
2020-03,-0.0342
2020-04,0.0196
2020-05,0.015700000000000002
2020-06,0.0149
2020-07,0.0116
2020-08,0.0147
2020-09,0.0139
2020-10,-0.0008
2020-11,-0.0025
2020-12,0.006999999999999999
2021-01,0.0189
2021-02,-0.0043
2021-03,-0.013999999999999999
2021-04,0.038
2021-05,0.013999999999999999
2021-06,0.0189
2021-07,-0.0038
2021-08,0.0207
2021-09,-0.0037
2021-10,-0.0097
2021-11,-0.0151
2021-12,-0.0072
2022-01,-0.0258
2022-02,0.0337
2022-03,0.0144
2022-04,0.0218
2022-05,0.0011
2022-06,0.0172
2022-07,0.0166
2022-08,0.0146
2022-09,0.0023
2022-10,-0.0085
2022-11,-0.011699999999999999
2022-12,0.0526
2023-01,-0.0173
2023-02,-0.0108
2023-03,-0.0253
2023-04,-0.0179
2023-05,0.0013
2023-06,0.0005
2023-07,-0.0017000000000000001
2023-08,0.006
2023-09,-0.0125
2023-10,-0.0037
2023-11,0.0004
2023-12,0.008100000000000001
2024-01,-0.0021
2024-02,0.0129
2024-03,0.025
2024-04,0.0029
2024-05,0.023700000000000002
2024-06,0.0527
2024-07,0.0216
2024-08,0.0115
2024-09,0.0012
2024-10,0.001
2024-11,-0.0025
2024-12,0.0131
2025-01,0.0141
2025-02,0.0449
2025-03,0.0131
2025-04,0.0123
2025-05,0.0072
2025-06,0.0138
2025-07,0.011399999999999999
2025-08,0.0332
2025-09,-0.0062
2025-10,0.026699999999999998
2025-11,-0.0054
2025-12,0.015600000000000001
